제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
비엠더블유코리아(주),BMW 520d xDrive,2016-10-06,2016-10-06,2025-12-04,"최초 차량판매 당시에는 TAKATA 에어백이 적용되지 않은 스티어링 휠로 출고되었으나, 출고 이후 BMW에서 승인한 교체 부품 중 TAKATA 에어백이 적용된 스포츠 또는 M 스포츠 스티어링 휠을 고객이 장착했을 가능성이 확인되었습니다. 해당 스티어링 휠은 질산암모늄을 사용한 에어백 인플레이터가 장착되어 있으며 차량이 고온 다습한 지역에 장기간 노출되었을 때 인플레이터 내부 압축 가스 추진제가 변형되었을 수 있습니다."
비엠더블유코리아(주),BMW 520i,2011-08-22,2013-01-11,2025-12-04,"최초 차량판매 당시에는 TAKATA 에어백이 적용되지 않은 스티어링 휠로 출고되었으나, 출고 이후 BMW에서 승인한 교체 부품 중 TAKATA 에어백이 적용된 스포츠 또는 M 스포츠 스티어링 휠을 고객이 장착했을 가능성이 확인되었습니다. 해당 스티어링 휠은 질산암모늄을 사용한 에어백 인플레이터가 장착되어 있으며 차량이 고온 다습한 지역에 장기간 노출되었을 때 인플레이터 내부 압축 가스 추진제가 변형되었을 수 있습니다."
비엠더블유코리아(주),BMW 520i,2011-10-13,2011-10-13,2025-12-04,"최초 차량판매 당시에는 TAKATA 에어백이 적용되지 않은 스티어링 휠로 출고되었으나, 출고 이후 BMW에서 승인한 교체 부품 중 TAKATA 에어백이 적용된 스포츠 또는 M 스포츠 스티어링 휠을 고객이 장착했을 가능성이 확인되었습니다. 해당 스티어링 휠은 질산암모늄을 사용한 에어백 인플레이터가 장착되어 있으며 차량이 고온 다습한 지역에 장기간 노출되었을 때 인플레이터 내부 압축 가스 추진제가 변형되었을 수 있습니다."
비엠더블유코리아(주),BMW 523i,2009-12-15,2011-08-12,2025-12-04,"최초 차량판매 당시에는 TAKATA 에어백이 적용되지 않은 스티어링 휠로 출고되었으나, 출고 이후 BMW에서 승인한 교체 부품 중 TAKATA 에어백이 적용된 스포츠 또는 M 스포츠 스티어링 휠을 고객이 장착했을 가능성이 확인되었습니다. 해당 스티어링 휠은 질산암모늄을 사용한 에어백 인플레이터가 장착되어 있으며 차량이 고온 다습한 지역에 장기간 노출되었을 때 인플레이터 내부 압축 가스 추진제가 변형되었을 수 있습니다."
비엠더블유코리아(주),BMW 525d,2012-06-29,2013-02-06,2025-12-04,"최초 차량판매 당시에는 TAKATA 에어백이 적용되지 않은 스티어링 휠로 출고되었으나, 출고 이후 BMW에서 승인한 교체 부품 중 TAKATA 에어백이 적용된 스포츠 또는 M 스포츠 스티어링 휠을 고객이 장착했을 가능성이 확인되었습니다. 해당 스티어링 휠은 질산암모늄을 사용한 에어백 인플레이터가 장착되어 있으며 차량이 고온 다습한 지역에 장기간 노출되었을 때 인플레이터 내부 압축 가스 추진제가 변형되었을 수 있습니다."
비엠더블유코리아(주),BMW 525d xDrive,2013-06-20,2014-07-11,2025-12-04,"최초 차량판매 당시에는 TAKATA 에어백이 적용되지 않은 스티어링 휠로 출고되었으나, 출고 이후 BMW에서 승인한 교체 부품 중 TAKATA 에어백이 적용된 스포츠 또는 M 스포츠 스티어링 휠을 고객이 장착했을 가능성이 확인되었습니다. 해당 스티어링 휠은 질산암모늄을 사용한 에어백 인플레이터가 장착되어 있으며 차량이 고온 다습한 지역에 장기간 노출되었을 때 인플레이터 내부 압축 가스 추진제가 변형되었을 수 있습니다."
비엠더블유코리아(주),BMW 525d xDrive,2012-03-14,2013-05-02,2025-12-04,"최초 차량판매 당시에는 TAKATA 에어백이 적용되지 않은 스티어링 휠로 출고되었으나, 출고 이후 BMW에서 승인한 교체 부품 중 TAKATA 에어백이 적용된 스포츠 또는 M 스포츠 스티어링 휠을 고객이 장착했을 가능성이 확인되었습니다. 해당 스티어링 휠은 질산암모늄을 사용한 에어백 인플레이터가 장착되어 있으며 차량이 고온 다습한 지역에 장기간 노출되었을 때 인플레이터 내부 압축 가스 추진제가 변형되었을 수 있습니다."
비엠더블유코리아(주),BMW 525d xDrive,2012-03-12,2013-04-22,2025-12-04,"최초 차량판매 당시에는 TAKATA 에어백이 적용되지 않은 스티어링 휠로 출고되었으나, 출고 이후 BMW에서 승인한 교체 부품 중 TAKATA 에어백이 적용된 스포츠 또는 M 스포츠 스티어링 휠을 고객이 장착했을 가능성이 확인되었습니다. 해당 스티어링 휠은 질산암모늄을 사용한 에어백 인플레이터가 장착되어 있으며 차량이 고온 다습한 지역에 장기간 노출되었을 때 인플레이터 내부 압축 가스 추진제가 변형되었을 수 있습니다."
비엠더블유코리아(주),BMW 528i,2010-02-18,2011-07-25,2025-12-04,"최초 차량판매 당시에는 TAKATA 에어백이 적용되지 않은 스티어링 휠로 출고되었으나, 출고 이후 BMW에서 승인한 교체 부품 중 TAKATA 에어백이 적용된 스포츠 또는 M 스포츠 스티어링 휠을 고객이 장착했을 가능성이 확인되었습니다. 해당 스티어링 휠은 질산암모늄을 사용한 에어백 인플레이터가 장착되어 있으며 차량이 고온 다습한 지역에 장기간 노출되었을 때 인플레이터 내부 압축 가스 추진제가 변형되었을 수 있습니다."
비엠더블유코리아(주),BMW 528i,2011-08-11,2013-05-17,2025-12-04,"최초 차량판매 당시에는 TAKATA 에어백이 적용되지 않은 스티어링 휠로 출고되었으나, 출고 이후 BMW에서 승인한 교체 부품 중 TAKATA 에어백이 적용된 스포츠 또는 M 스포츠 스티어링 휠을 고객이 장착했을 가능성이 확인되었습니다. 해당 스티어링 휠은 질산암모늄을 사용한 에어백 인플레이터가 장착되어 있으며 차량이 고온 다습한 지역에 장기간 노출되었을 때 인플레이터 내부 압축 가스 추진제가 변형되었을 수 있습니다."
비엠더블유코리아(주),BMW 528i xDrive,2011-08-10,2013-06-27,2025-12-04,"최초 차량판매 당시에는 TAKATA 에어백이 적용되지 않은 스티어링 휠로 출고되었으나, 출고 이후 BMW에서 승인한 교체 부품 중 TAKATA 에어백이 적용된 스포츠 또는 M 스포츠 스티어링 휠을 고객이 장착했을 가능성이 확인되었습니다. 해당 스티어링 휠은 질산암모늄을 사용한 에어백 인플레이터가 장착되어 있으며 차량이 고온 다습한 지역에 장기간 노출되었을 때 인플레이터 내부 압축 가스 추진제가 변형되었을 수 있습니다."
비엠더블유코리아(주),BMW 535d,2010-09-10,2011-08-02,2025-12-04,"최초 차량판매 당시에는 TAKATA 에어백이 적용되지 않은 스티어링 휠로 출고되었으나, 출고 이후 BMW에서 승인한 교체 부품 중 TAKATA 에어백이 적용된 스포츠 또는 M 스포츠 스티어링 휠을 고객이 장착했을 가능성이 확인되었습니다. 해당 스티어링 휠은 질산암모늄을 사용한 에어백 인플레이터가 장착되어 있으며 차량이 고온 다습한 지역에 장기간 노출되었을 때 인플레이터 내부 압축 가스 추진제가 변형되었을 수 있습니다."
비엠더블유코리아(주),BMW 535d,2011-08-31,2013-06-18,2025-12-04,"최초 차량판매 당시에는 TAKATA 에어백이 적용되지 않은 스티어링 휠로 출고되었으나, 출고 이후 BMW에서 승인한 교체 부품 중 TAKATA 에어백이 적용된 스포츠 또는 M 스포츠 스티어링 휠을 고객이 장착했을 가능성이 확인되었습니다. 해당 스티어링 휠은 질산암모늄을 사용한 에어백 인플레이터가 장착되어 있으며 차량이 고온 다습한 지역에 장기간 노출되었을 때 인플레이터 내부 압축 가스 추진제가 변형되었을 수 있습니다."
